,No Mhs,Kalkulus 1 TP1,Kalkulus TP2,Kalkulus 1 UTS,Kalkulus 1 UAS,Kalkulus 1 Rata-Rata,Data Sci IoT TP1,Data Sci IoT TP2,Data Sci IoT UTS,Data Sci IoT UAS,Data Sci IoT Rata-Rata,Keamanan Komp TP1,Keamanan Komp TP2,Keamanan Komp UTS,Keamanan Komp UAS,Keamanan Komp Rata-Rata,Jaringan Komp TP1,Jaringan Komp TP2,Jaringan Komp UTS,Jaringan Komp UAS,Jaringan Komp Rata-Rata,Machine Learning Lanjut TP1,Machine Learning Lanjut TP2,Machine Learning Lanjut UTS,Machine Learning Lanjut UAS,Machine Learning Lanjut Rata-Rata,Pemodelan B. Objek TP1,Pemodelan B. Objek TP2,Pemodelan B. Objek UTS,Pemodelan B. Objek UAS,Pemodelan B. Objek Rata-Rata,Pengolahan Gbr Data Sci TP1,Pengolahan Gbr Data Sci TP2,Pengolahan Gbr Data Sci TP3,Pengolahan Gbr Data Sci TP4,Pengolahan Gbr Data Sci Rata-Rata,Pemrograman Web TP1,Pemrograman Web TP2,Pemrograman Web UTS,Pemrograman Web UAS,Pemrograman Web Rata-Rata,Pemrograman Mobile TP1,Pemrograman Mobile TP2,Pemrograman Mobile UTS,Pemrograman Mobile UAS,Pemrograman Mobile Rata-Rata,Blockchain TP1,Blockchain TP2,Blockchain UTS,Blockchain UAS,Blockchain Rata-Rata,Topik Skripsi
226,226,12,8,9,12,10,7,9,4,4,6,8,10,5,9,8,10,8,12,11,10,5,3,2,7,4,9,10,5,4,7,10,8,8,11,9,7,10,4,5,6,11,12,9,10,10,12,12,8,11,11,Blockchain
227,227,7,6,2,5,5,7,7,10,10,8,11,8,8,7,8,9,7,9,5,8,10,12,11,8,10,7,6,8,3,6,9,7,12,4,8,7,3,6,8,6,8,10,9,7,8,9,10,7,10,9,Data Sci IoT
228,228,8,9,4,1,6,10,8,4,2,6,5,4,9,7,6,8,6,9,3,6,9,8,10,9,9,2,4,3,2,3,2,5,5,6,4,8,8,6,5,7,7,3,6,4,5,9,10,8,9,9,Blockchain
229,229,8,5,10,1,6,8,8,5,9,8,11,11,9,9,10,12,12,9,5,10,10,7,5,5,7,10,12,6,7,9,10,8,8,9,9,10,6,8,10,8,10,11,8,7,9,9,6,8,5,7,Pemodelan B. Objek
230,230,7,8,12,10,9,5,5,6,7,6,7,7,8,6,7,7,10,7,9,8,8,11,12,7,10,8,5,2,2,4,5,4,8,8,6,11,12,12,9,11,12,10,7,9,10,5,7,10,9,8,Machine Learning Lanjut
231,231,9,10,11,6,9,6,3,5,8,6,8,10,6,11,9,7,10,7,3,7,10,11,7,4,8,7,5,4,1,4,9,5,3,7,6,7,10,10,6,8,10,7,4,1,6,10,12,6,6,8,Machine Learning Lanjut
232,232,7,8,8,8,8,4,8,3,7,6,7,4,1,2,4,4,7,4,8,6,10,8,7,10,9,7,5,10,5,7,7,5,2,3,4,2,6,1,1,2,4,1,3,6,4,7,10,7,5,7,Machine Learning Lanjut
233,233,12,11,11,10,11,8,11,6,9,8,9,11,6,8,8,9,7,6,4,6,7,9,3,8,7,5,1,1,5,3,5,7,4,2,4,6,8,6,10,8,7,10,7,5,7,6,9,7,10,8,Data Sci IoT
234,234,10,6,9,11,9,12,8,4,6,8,10,10,9,12,10,5,1,1,2,2,6,3,4,3,4,7,3,3,1,4,6,4,3,7,5,9,9,5,1,6,12,8,6,4,8,9,11,12,7,10,Keamanan Komp
235,235,5,1,5,2,3,7,6,6,3,6,11,8,4,7,8,11,9,11,7,10,10,8,9,9,9,5,7,10,3,6,11,11,10,10,10,9,7,3,2,5,5,8,1,3,4,11,12,8,7,10,Jaringan Komp
236,236,5,3,3,1,3,2,2,5,5,4,6,4,7,3,5,8,8,6,10,8,10,10,8,10,10,10,8,9,6,8,6,10,9,5,8,6,4,2,6,4,9,9,6,8,8,6,10,3,5,6,Machine Learning Lanjut
237,237,6,5,2,2,4,10,11,11,8,10,12,11,11,8,10,5,6,8,6,6,9,9,11,11,10,10,8,10,4,8,9,5,8,10,8,7,8,5,3,6,7,6,11,6,8,9,9,9,9,9,Data Sci IoT
238,238,6,7,9,3,6,5,5,5,5,5,7,5,5,6,6,7,10,5,7,7,12,12,8,4,9,11,11,7,10,10,7,5,6,6,6,12,11,11,11,11,5,4,8,6,6,10,6,3,5,6,Machine Learning Lanjut
239,239,11,11,8,11,10,8,9,12,8,9,8,5,8,4,6,7,7,5,6,6,12,10,7,12,10,12,9,12,11,11,12,10,10,12,11,8,11,6,3,7,10,6,8,3,7,11,7,5,6,7,Pemodelan B. Objek
240,240,8,4,7,5,6,10,6,9,7,8,8,10,9,10,9,5,8,5,8,6,7,7,4,4,6,5,4,8,8,6,9,7,6,2,6,4,8,4,5,5,2,6,3,7,4,9,10,9,5,8,Keamanan Komp
241,241,9,7,12,8,9,5,6,9,9,7,8,5,6,8,7,10,6,6,7,7,6,3,5,7,5,9,12,6,9,9,9,12,11,11,11,9,11,12,6,10,11,10,6,9,9,6,10,2,1,5,Pengolahan Gbr Data Sci
242,242,6,3,4,2,4,5,6,4,2,4,11,10,6,10,9,11,10,6,2,7,10,8,6,6,8,5,4,8,2,5,9,12,10,11,10,11,7,3,2,6,7,11,3,6,7,7,9,4,7,7,Keamanan Komp
243,243,9,10,5,10,8,9,6,7,2,6,5,5,6,1,4,7,8,5,6,6,5,2,6,7,5,9,5,9,9,8,5,4,8,1,4,5,3,5,8,5,11,10,12,8,10,5,5,2,6,4,Kalkulus 1
244,244,6,4,4,2,4,4,3,5,5,4,2,4,4,6,4,5,7,3,4,5,5,7,5,5,6,10,8,7,10,9,9,8,5,2,6,8,9,8,10,9,5,2,3,1,3,3,2,4,3,3,Machine Learning Lanjut
245,245,5,1,3,2,3,6,9,4,1,5,10,10,10,9,10,7,9,5,9,8,8,11,5,6,8,8,6,10,6,8,6,4,2,4,4,6,5,1,4,4,10,8,8,11,9,5,4,3,5,4,Keamanan Komp
246,246,8,12,10,4,8,7,7,10,9,8,10,7,12,10,10,11,7,3,1,6,11,12,8,11,10,5,6,5,9,6,12,10,11,11,11,6,3,8,3,5,7,7,11,8,8,11,12,7,3,8,Pengolahan Gbr Data Sci
247,247,5,7,9,9,8,10,6,11,3,8,8,9,10,7,8,9,9,6,3,7,6,3,4,7,5,5,3,7,8,6,8,5,2,4,5,6,8,2,2,4,11,8,7,8,8,7,9,12,4,8,Data Sci IoT
248,248,3,6,5,5,5,3,5,5,1,4,8,7,7,3,6,9,5,9,2,6,8,7,6,9,8,7,10,10,4,8,10,7,9,10,9,2,1,4,2,2,7,10,9,7,8,2,2,2,6,3,Machine Learning Lanjut
249,249,10,7,12,7,9,10,6,6,8,8,12,11,11,10,11,12,11,8,12,11,7,11,7,11,9,8,4,1,5,4,10,12,11,7,10,7,9,6,9,8,5,2,6,7,5,6,6,2,1,4,Pengolahan Gbr Data Sci
250,250,9,12,9,7,9,9,11,11,12,11,11,8,12,4,9,8,11,7,8,8,10,9,12,8,10,10,11,6,4,8,12,12,9,10,11,10,9,12,8,10,10,9,12,11,10,8,7,3,3,5,Machine Learning Lanjut
251,251,8,8,5,7,7,5,8,1,1,4,12,8,12,7,10,12,9,10,12,11,11,9,7,11,10,5,6,9,1,5,9,8,12,11,10,9,9,12,5,9,8,12,4,3,7,10,11,11,7,10,Machine Learning Lanjut
252,252,2,3,2,5,3,3,5,2,3,3,5,8,5,1,5,5,7,7,5,6,10,7,10,4,8,3,2,6,6,4,7,7,10,6,8,3,7,3,2,4,8,9,6,7,8,7,3,6,4,5,Pengolahan Gbr Data Sci
253,253,10,9,6,3,7,8,7,9,3,7,11,12,10,6,10,5,8,6,6,6,5,6,1,4,4,9,5,5,4,6,6,3,7,6,6,9,8,6,8,8,11,12,10,6,10,6,4,3,6,5,Pemrograman Mobile
254,254,10,12,8,8,10,7,8,10,10,9,12,9,9,11,10,7,4,5,8,6,5,9,7,4,6,6,4,4,6,5,10,11,6,7,8,7,10,5,7,7,11,9,7,8,9,7,11,10,7,9,Data Sci IoT
255,255,11,7,10,11,10,7,4,1,6,4,6,4,4,5,5,6,4,1,6,4,12,9,6,6,8,9,10,10,12,10,7,7,9,7,8,5,7,5,2,5,10,12,6,3,8,6,4,5,8,6,Pemodelan B. Objek
256,256,2,4,5,2,3,5,6,9,5,6,6,6,2,4,4,3,6,4,5,4,5,2,6,7,5,9,9,8,8,8,2,5,3,3,3,5,1,3,3,3,4,2,6,3,4,6,10,5,2,6,Data Sci IoT
257,257,12,10,10,10,10,6,9,10,9,8,10,6,5,4,6,5,3,8,1,4,9,11,6,8,8,8,7,4,2,5,7,8,6,9,8,12,11,9,10,10,8,4,3,8,6,6,7,7,7,7,Pemrograman Web
258,258,7,11,8,6,8,7,8,11,3,7,12,10,10,11,11,9,6,8,3,6,6,10,10,10,9,12,12,9,9,10,9,9,5,4,7,9,6,5,2,6,9,6,3,8,6,9,6,6,11,8,Pemodelan B. Objek
259,259,11,7,12,5,9,7,9,7,3,6,7,11,12,3,8,9,7,11,4,8,5,7,6,10,7,9,8,12,8,9,6,2,3,1,3,8,10,6,4,7,11,12,10,10,11,8,11,6,6,8,Pemrograman Mobile
260,260,8,6,2,4,5,2,1,5,2,2,3,7,8,2,5,8,6,4,2,5,10,8,8,5,8,4,1,6,6,4,6,9,9,2,6,4,6,1,3,4,6,6,2,2,4,10,9,10,6,9,Machine Learning Lanjut
261,261,5,8,6,3,6,11,7,8,12,10,7,5,3,8,6,10,10,9,12,10,9,9,12,7,9,12,9,7,5,8,10,12,11,12,11,5,2,7,6,5,8,9,8,12,9,5,8,9,8,8,Pengolahan Gbr Data Sci
262,262,6,9,7,4,6,7,3,5,5,5,9,7,5,9,8,10,9,5,9,8,10,6,4,9,7,10,10,6,7,8,7,6,4,1,4,7,3,5,2,4,11,12,8,5,9,5,6,2,4,4,Keamanan Komp
263,263,5,7,10,5,7,11,7,9,5,8,5,1,3,3,3,8,6,5,3,6,12,10,7,6,9,11,12,7,4,8,7,10,11,5,8,10,8,12,9,10,5,7,7,5,6,5,9,5,6,6,Data Sci IoT
264,264,10,10,10,10,10,8,9,8,5,8,2,2,1,6,3,4,3,1,2,2,10,9,8,7,8,4,4,6,3,4,5,7,9,1,6,3,4,5,3,4,2,3,3,6,4,7,9,9,5,8,Data Sci IoT
265,265,6,4,8,4,6,10,9,12,8,10,12,9,10,7,10,6,6,10,5,7,10,8,7,3,7,12,10,8,4,8,7,3,5,6,5,12,8,5,9,8,12,12,8,8,10,11,8,12,12,11,Data Sci IoT
266,266,5,3,1,2,3,7,9,7,9,8,8,8,4,4,6,11,7,7,5,8,12,11,8,8,10,12,11,11,7,10,8,12,10,6,9,12,9,10,11,10,5,1,6,1,3,9,7,7,7,8,Pemodelan B. Objek
267,267,7,8,8,4,7,12,8,8,10,10,10,10,12,11,11,8,9,10,10,9,11,8,7,5,8,9,8,11,11,10,5,9,8,7,7,11,11,12,9,11,10,6,8,8,8,5,4,1,4,4,Pemrograman Web
268,268,4,8,5,4,5,8,5,7,6,6,4,7,8,9,7,5,4,4,9,6,8,6,6,9,7,5,4,1,4,4,10,10,8,4,8,4,2,1,1,2,7,7,5,1,5,8,5,9,8,8,Keamanan Komp
269,269,10,8,4,3,6,5,3,4,4,4,9,9,5,3,6,10,9,9,7,9,6,10,9,5,8,5,2,1,3,3,5,5,3,3,4,11,7,9,11,10,7,5,2,1,4,9,5,1,4,5,Jaringan Komp
270,270,5,2,7,6,5,8,7,9,12,9,5,9,9,4,7,10,12,7,4,8,6,2,2,5,4,7,10,5,2,6,9,11,5,2,7,6,2,6,6,5,5,7,5,4,5,7,7,11,6,8,Data Sci IoT
271,271,6,10,10,11,9,9,6,7,9,8,8,6,10,4,7,5,8,8,6,7,8,5,4,9,6,9,8,6,4,7,7,5,4,5,5,11,10,6,3,8,12,11,8,10,10,11,11,8,10,10,Pemrograman Mobile
272,272,4,3,1,1,2,3,3,2,1,2,3,6,3,8,5,7,3,4,4,4,4,4,9,2,5,7,10,7,4,7,8,5,7,3,6,5,7,10,2,6,8,4,4,8,6,8,6,5,8,7,Pemodelan B. Objek
273,273,10,7,9,10,9,5,3,4,2,4,9,7,12,6,8,7,7,3,6,6,12,10,8,11,10,8,11,4,2,6,12,12,10,6,10,8,8,10,5,8,7,5,10,3,6,8,8,6,9,8,Kalkulus 1
274,274,7,8,12,10,9,7,7,3,5,6,12,8,12,11,11,11,9,5,9,8,10,12,9,5,9,8,10,7,3,7,7,8,3,7,6,9,5,4,2,5,12,8,9,5,8,6,3,7,3,5,Kalkulus 1
275,275,6,8,8,2,6,11,7,8,8,8,9,7,10,3,7,7,7,8,12,8,5,6,4,9,6,12,8,12,4,9,8,7,11,4,8,8,6,8,9,8,8,10,4,9,8,11,10,10,6,9,Data Sci IoT
276,276,3,2,7,6,4,8,7,7,9,8,5,2,6,2,4,4,5,3,1,3,7,7,5,10,7,8,5,7,4,6,10,9,5,6,8,4,6,8,4,6,8,10,5,8,8,9,10,10,10,10,Blockchain
277,277,7,8,3,3,5,8,10,9,11,10,6,10,9,11,9,11,12,7,8,10,12,12,11,7,10,11,11,7,4,8,8,4,3,2,4,12,11,10,10,11,12,9,6,7,8,6,10,9,8,8,Data Sci IoT
278,278,8,10,9,4,8,5,5,6,6,6,5,4,5,6,5,7,3,5,3,4,8,12,5,7,8,7,6,3,5,5,11,12,7,5,9,7,3,7,1,4,8,11,6,6,8,5,6,5,2,4,Kalkulus 1
279,279,6,10,4,2,6,8,6,2,2,4,8,12,4,7,8,6,3,4,5,4,7,10,11,12,10,8,7,3,2,5,5,8,4,4,5,9,9,8,8,8,12,12,9,10,11,6,9,8,4,7,Keamanan Komp
280,280,10,8,6,4,7,10,8,4,3,6,10,9,5,9,8,8,10,10,9,9,7,5,5,3,5,4,7,8,7,6,4,1,2,6,3,10,10,10,6,9,4,5,6,5,5,3,3,1,4,3,Pemrograman Web
281,281,12,11,9,10,10,12,12,12,11,12,11,11,11,8,10,7,4,5,9,6,7,6,10,11,8,5,6,2,5,4,5,3,4,1,3,7,3,2,1,3,12,8,12,9,10,7,8,6,3,6,Kalkulus 1
282,282,11,10,9,7,9,9,10,9,9,9,9,12,8,5,8,11,11,12,12,12,12,11,7,9,10,9,12,5,2,7,6,8,4,8,6,8,11,4,4,7,6,8,10,4,7,5,7,9,9,8,Machine Learning Lanjut
283,283,5,9,1,3,4,6,6,9,6,7,6,6,9,6,7,9,8,5,10,8,10,11,10,12,11,8,12,7,8,9,7,9,12,3,8,9,11,10,5,9,9,5,4,6,6,6,2,1,6,4,Pemrograman Web
284,284,10,6,9,10,9,7,4,9,9,7,7,8,9,8,8,6,5,6,1,4,3,4,5,2,4,7,5,6,6,6,2,4,2,1,2,10,8,4,2,6,6,4,9,8,7,7,3,5,1,4,Kalkulus 1
285,285,10,11,6,5,8,12,10,11,12,11,11,9,11,5,9,12,11,10,11,11,9,11,8,7,9,8,10,9,8,9,12,8,10,10,10,9,12,10,10,10,12,9,8,10,10,7,5,6,6,6,Data Sci IoT
286,286,6,3,7,6,6,11,11,10,9,10,11,10,6,2,7,8,7,9,4,7,10,10,10,10,10,5,1,4,6,4,11,11,9,12,11,5,9,1,2,4,6,2,7,7,6,12,9,9,10,10,Machine Learning Lanjut
287,287,12,8,6,8,8,6,6,8,11,8,6,3,5,5,5,12,11,11,11,11,11,8,8,11,10,11,8,12,5,9,10,8,11,10,10,7,3,1,2,3,12,9,12,5,10,12,10,12,9,11,Jaringan Komp
288,288,4,5,2,4,4,9,5,10,8,8,8,5,10,6,7,6,10,6,7,7,9,6,7,8,8,2,1,4,6,3,8,6,9,8,8,2,1,1,6,2,10,10,8,8,9,10,6,8,9,8,Pemrograman Mobile
289,289,6,2,1,2,3,5,4,2,4,4,11,7,5,6,7,7,4,5,1,4,12,8,4,1,6,10,8,10,4,8,6,10,3,4,6,8,8,4,6,6,9,10,8,11,10,7,4,7,8,6,Pemrograman Mobile
290,290,7,6,4,2,5,7,10,11,9,9,10,8,4,6,7,11,11,10,10,10,7,6,8,8,7,11,8,8,8,9,6,4,5,4,5,12,12,9,5,10,10,11,8,10,10,10,7,3,1,5,Pemrograman Mobile
291,291,9,8,12,5,8,7,11,7,10,9,6,4,7,4,5,6,10,2,5,6,6,2,5,2,4,7,6,7,5,6,12,8,5,4,7,12,9,6,10,9,12,10,6,5,8,11,11,8,5,9,Blockchain
292,292,2,5,1,2,2,5,5,3,6,5,9,8,5,6,7,8,9,6,7,8,10,8,5,10,8,6,4,4,8,6,4,7,7,6,6,4,2,3,2,3,10,8,8,9,9,7,3,4,7,5,Machine Learning Lanjut
293,293,6,10,6,2,6,7,10,7,11,9,11,8,5,9,8,12,12,9,12,11,9,12,9,9,10,10,8,11,8,9,11,9,7,11,10,6,10,8,3,7,9,12,9,7,9,6,8,6,9,7,Machine Learning Lanjut
294,294,8,7,12,6,8,8,7,5,8,7,7,7,4,6,6,7,9,4,5,6,10,7,4,5,6,10,12,12,12,12,10,10,11,6,9,11,11,7,7,9,8,7,7,9,8,6,2,6,5,5,Pemodelan B. Objek
295,295,5,9,4,4,6,11,12,11,8,10,8,7,12,6,8,10,7,10,4,8,10,6,3,8,7,10,12,10,7,10,6,8,4,8,6,5,8,7,4,6,10,9,8,7,8,12,11,8,7,10,Data Sci IoT
296,296,10,10,6,4,8,8,10,8,7,8,2,5,5,3,4,2,6,6,5,5,9,6,3,7,6,6,8,2,7,6,9,8,7,9,8,10,6,4,2,6,3,6,3,7,5,10,7,5,8,8,Kalkulus 1
297,297,11,7,3,3,6,12,12,9,8,10,6,4,5,8,6,8,12,8,10,10,12,10,8,10,10,7,8,5,10,8,12,12,9,10,11,7,3,4,1,4,7,4,4,5,5,10,12,6,5,8,Data Sci IoT
298,298,10,10,12,9,10,10,6,4,7,7,10,11,6,10,9,9,8,4,8,7,5,9,10,7,8,12,8,7,4,8,11,10,10,12,11,11,7,5,1,6,11,7,5,6,7,6,2,7,3,4,Pengolahan Gbr Data Sci
299,299,5,6,9,2,6,10,6,5,7,7,7,9,8,9,8,9,9,9,11,10,5,1,6,1,3,6,5,9,2,6,9,9,8,7,8,6,5,3,6,5,9,10,11,9,10,7,10,3,3,6,Keamanan Komp
300,300,6,8,7,7,7,6,5,4,7,6,9,10,7,3,7,10,6,5,5,6,2,3,1,4,2,8,10,4,9,8,8,7,9,6,8,2,2,7,4,4,10,9,7,10,9,2,2,4,5,3,Pengolahan Gbr Data Sci
301,301,9,5,5,5,6,8,12,5,2,7,8,11,10,6,9,11,8,10,11,10,5,9,5,6,6,7,11,4,3,6,8,11,9,6,8,6,9,4,4,6,11,12,8,5,9,12,8,8,11,10,Blockchain
302,302,11,11,11,11,11,9,10,9,12,10,7,11,8,7,8,9,10,6,3,7,12,10,7,6,9,8,5,5,5,6,5,3,6,2,4,8,4,5,2,5,8,10,11,7,9,9,11,7,5,8,Machine Learning Lanjut
303,303,6,6,3,5,5,10,7,6,10,8,5,3,3,5,4,10,11,7,9,9,9,9,7,4,7,6,5,4,6,5,8,5,7,3,6,11,9,6,5,8,8,5,1,3,4,9,6,10,8,8,Data Sci IoT
304,304,6,3,4,5,4,10,7,5,7,7,3,2,6,7,4,6,3,6,2,4,8,4,4,4,5,3,5,3,8,5,9,7,4,4,6,5,3,6,3,4,7,6,6,8,7,8,7,10,10,9,Blockchain
305,305,12,12,9,11,11,10,7,6,3,6,11,12,9,8,10,6,5,4,5,5,10,8,8,11,9,11,11,7,12,10,5,9,10,2,6,6,5,3,4,4,5,4,7,2,4,12,8,12,9,10,Kalkulus 1
306,306,11,9,11,6,9,9,6,3,6,6,10,11,9,11,10,8,4,9,5,6,7,9,12,3,8,11,7,11,9,10,11,9,11,7,10,11,9,11,6,9,12,10,8,5,9,5,9,5,6,6,Pemodelan B. Objek
307,307,12,9,12,5,10,10,6,9,6,8,12,9,7,8,9,5,5,8,4,6,10,7,3,2,6,10,6,11,3,8,8,8,5,8,7,6,5,10,7,7,12,11,9,9,10,5,5,10,7,7,Pemrograman Mobile
308,308,3,5,4,2,4,3,2,5,2,3,10,8,6,3,7,9,9,6,3,7,3,5,8,4,5,8,9,7,10,8,3,5,7,4,5,2,3,7,2,4,6,8,5,5,6,10,8,7,4,7,Keamanan Komp
309,309,12,10,9,5,9,7,8,8,12,9,7,11,12,9,10,8,8,9,5,8,10,10,9,5,8,6,5,6,10,7,12,12,11,12,12,12,12,11,12,12,5,7,8,2,6,5,7,6,8,6,Keamanan Komp
310,310,8,4,3,5,5,9,12,10,7,10,12,8,11,5,9,12,11,9,8,10,8,5,8,2,6,9,12,7,6,8,10,11,12,9,10,8,9,12,4,8,9,7,10,12,10,7,8,3,2,5,Data Sci IoT
311,311,6,7,2,6,5,9,10,11,8,10,10,12,11,9,10,6,5,7,3,5,12,8,5,9,8,5,9,7,7,7,9,8,5,8,8,9,7,3,1,5,8,11,11,11,10,12,11,10,7,10,Pemrograman Mobile
312,312,7,6,4,9,6,5,8,8,9,8,3,5,1,1,2,3,3,8,7,5,2,1,2,6,3,10,10,6,5,8,2,1,5,3,3,8,7,6,4,6,2,1,2,3,2,8,10,4,8,8,Data Sci IoT
313,313,5,6,7,3,5,12,12,11,12,12,12,11,9,8,10,6,8,6,9,7,11,7,6,9,8,5,5,3,1,4,8,5,5,9,7,7,5,3,8,6,7,6,10,7,8,8,4,4,9,6,Keamanan Komp
314,314,12,9,7,5,8,7,9,6,4,6,12,9,6,9,9,8,12,4,9,8,5,1,1,4,3,12,11,12,9,11,5,8,9,4,6,9,11,9,9,10,10,11,9,8,10,12,8,9,8,9,Pemrograman Mobile
315,315,7,10,9,8,8,11,8,5,6,8,7,8,11,11,9,11,10,6,3,8,10,12,9,10,10,6,2,6,4,4,9,11,7,3,8,9,7,5,7,7,7,10,10,10,9,7,9,6,5,7,Machine Learning Lanjut
316,316,6,10,2,5,6,7,4,9,3,6,2,2,3,2,2,4,3,5,3,4,5,1,4,6,4,9,9,7,6,8,8,9,9,4,8,7,5,3,5,5,3,6,7,1,4,5,6,5,1,4,Pemodelan B. Objek
317,317,7,10,4,1,6,8,4,4,4,5,10,12,10,8,10,12,10,11,6,10,10,9,11,11,10,11,11,11,9,10,8,10,12,8,10,6,8,4,9,7,6,2,5,1,4,6,5,4,2,4,Jaringan Komp
318,318,8,11,11,12,10,8,5,1,6,5,8,10,7,11,9,12,11,12,7,10,7,4,1,2,4,10,7,12,7,9,7,10,4,7,7,8,6,9,5,7,7,6,4,8,6,5,1,3,1,2,Keamanan Komp
319,319,9,5,5,9,7,8,9,5,7,7,11,8,4,4,7,9,9,6,3,7,11,12,9,12,11,9,11,11,12,11,6,7,4,7,6,11,11,11,9,10,10,8,5,5,7,5,1,6,5,4,Pemrograman Web
320,320,2,5,3,1,3,3,4,2,6,4,2,3,5,1,3,9,5,5,5,6,6,10,4,6,6,8,7,6,3,6,2,6,7,4,5,7,7,5,6,6,5,1,6,6,4,8,7,10,7,8,Blockchain
321,321,12,10,7,3,8,7,4,7,8,6,11,8,5,9,8,10,10,7,9,9,11,7,12,4,8,5,3,4,5,4,12,8,10,4,8,11,7,10,5,8,9,10,7,7,8,6,2,2,5,4,Kalkulus 1
322,322,12,10,8,12,10,11,8,4,6,7,8,8,5,6,7,7,8,10,9,8,12,11,11,11,11,6,9,2,6,6,8,12,10,10,10,12,12,9,12,11,6,2,5,1,4,11,12,7,9,10,Machine Learning Lanjut
323,323,9,11,7,5,8,8,8,11,12,10,7,10,9,6,8,10,6,3,4,6,11,9,8,7,9,6,2,7,3,4,5,5,7,7,6,10,10,6,9,9,10,10,11,7,10,5,5,6,1,4,Data Sci IoT
324,324,4,2,2,2,2,2,5,2,3,3,3,6,8,6,6,2,4,1,3,2,3,3,2,2,2,5,8,6,7,6,3,2,3,1,2,2,2,5,4,3,10,9,9,8,9,4,8,6,3,5,Pemrograman Mobile
325,325,11,11,12,8,10,9,12,10,10,10,8,11,6,6,8,8,8,7,6,7,10,9,9,10,10,12,12,8,9,10,12,10,11,6,10,10,11,11,9,10,10,6,5,5,6,10,9,11,5,9,Data Sci IoT
326,326,12,8,8,12,10,5,2,1,5,3,7,5,2,3,4,10,8,5,2,6,9,12,8,7,9,7,3,1,2,3,11,8,6,2,7,5,7,7,6,6,5,9,2,6,6,9,5,1,1,4,Pengolahan Gbr Data Sci
327,327,9,8,8,11,9,11,12,9,5,9,8,6,11,2,7,5,5,9,1,5,10,10,12,7,10,7,5,8,10,8,12,12,8,9,10,7,6,3,8,6,11,10,9,12,10,7,3,1,2,3,Machine Learning Lanjut
328,328,3,7,8,4,6,7,4,2,2,4,8,5,5,9,7,9,7,9,5,8,8,10,5,5,7,10,8,10,8,9,2,5,1,3,3,10,6,2,1,5,3,4,8,5,5,6,5,7,6,6,Pemodelan B. Objek
329,329,8,6,7,11,8,9,8,12,10,10,6,7,2,2,4,6,10,3,8,7,11,8,4,7,8,6,8,4,6,6,6,10,10,6,8,9,9,8,8,8,6,2,5,6,5,11,7,3,6,7,Data Sci IoT
330,330,5,1,3,4,3,8,7,9,12,9,9,7,3,5,6,9,6,5,9,7,12,12,8,10,10,8,6,3,5,6,10,6,7,6,7,8,11,4,8,8,10,11,6,9,9,8,4,7,7,6,Machine Learning Lanjut
331,331,10,9,6,2,7,6,3,6,7,6,9,8,8,5,8,5,1,5,3,4,11,7,11,5,8,7,11,7,5,8,5,4,6,8,6,12,11,10,6,10,9,11,11,6,9,6,7,3,1,4,Keamanan Komp
332,332,8,5,6,3,6,3,3,2,6,4,4,4,9,3,5,8,4,5,5,6,6,5,2,7,5,7,4,1,4,4,2,1,2,6,3,7,3,7,7,6,2,4,3,5,4,4,4,3,3,4,Pemrograman Web
333,333,12,11,12,7,10,11,9,5,6,8,11,10,8,7,9,8,12,8,4,8,5,1,6,3,4,6,8,11,4,7,11,7,11,7,9,6,4,6,3,5,9,12,9,5,9,9,11,7,3,8,Pengolahan Gbr Data Sci
334,334,9,12,9,12,10,7,4,1,5,4,10,12,7,12,10,11,12,12,10,11,12,12,8,12,11,10,6,6,5,7,8,10,8,12,10,11,12,7,12,10,5,8,5,3,5,8,6,9,2,6,Jaringan Komp
335,335,8,12,12,9,10,6,4,8,4,6,10,10,12,6,10,9,7,7,7,8,5,8,10,4,7,11,11,11,8,10,8,8,8,8,8,8,5,9,9,8,7,4,1,4,4,10,7,11,4,8,Kalkulus 1
336,336,9,6,8,5,7,8,7,7,7,7,7,10,3,8,7,9,8,7,5,7,4,4,8,2,4,2,4,5,6,4,9,7,3,6,6,4,2,7,4,4,9,8,6,2,6,8,6,4,4,6,Keamanan Komp
337,337,8,10,10,8,9,6,9,5,8,7,12,9,5,9,9,11,12,7,9,10,9,9,6,2,6,7,8,12,8,9,6,4,7,5,6,12,11,9,10,10,10,9,7,7,8,10,10,12,8,10,Pemrograman Web
338,338,6,4,2,4,4,8,11,8,6,8,12,12,8,5,9,9,9,7,3,7,8,8,11,10,9,9,8,9,8,8,11,10,11,8,10,9,9,12,9,10,12,8,5,3,7,8,6,5,6,6,Keamanan Komp
339,339,9,9,8,5,8,8,4,9,8,7,11,7,3,7,7,8,11,7,6,8,7,7,10,12,9,9,10,5,6,8,11,8,5,4,7,9,8,8,10,9,9,5,4,3,5,11,8,4,3,6,Machine Learning Lanjut
340,340,8,4,9,7,7,2,3,1,5,3,9,6,6,5,6,7,4,5,7,6,6,9,8,6,7,9,8,4,8,7,8,7,4,8,7,3,4,2,1,2,6,10,7,3,6,5,7,3,2,4,Machine Learning Lanjut
341,341,12,8,10,6,9,9,11,5,9,8,6,3,1,5,4,8,7,5,4,6,10,12,8,9,10,5,8,4,4,5,11,7,6,10,8,6,7,6,7,6,9,11,6,5,8,11,11,11,12,11,Kalkulus 1
